User Story,Task,Dependancy,Story Points,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
1,2,,2,,JN:1,JN:1,,,,
1,3,,2,,J:2,,,,,
3,6,,2,,R:2,,,,,
3,13,,2,,,R:2,,,,
5,11,,2,,,,,,,
5,12,,2,,,,,,,
6,14,,2,,S:2,,,,,
6,15,,2,,,,,,,
7,16,,4,,,J:2,,J:2,,
7,17,,2,,,,,A:2,,
8,18,,1,,,,,S:1,,
9,19,,1,,,,,S:1,,
9,20,,3,,,,JN:2,JN:1,,
10,21,,2,,,,,,,
10,22,,2,,,,,,,
11,23,,3,,,,,,A:3,
11,24,,2,,,,,,,A:2
